,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,open_issue_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2026-03-09 16:49:40.576000,2026-03-09 12:30:18,16597.0,92.0,1348.0,94.0,1996.0,2214.0,2814.0,2026-03-09 12:47:20.000,82.0.1,235.0,639.0,47,True,,setuptools,conda-forge/setuptools,,596.0,,1394886557.0,846330.0,846330.0,https://pypi.org/project/setuptools,1392203586.0,https://anaconda.org/conda-forge/setuptools,2026-03-09 16:49:40.576,190491007.0,1.0,,,,,,,,,,,,,,,,,,,,
11,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2026-03-30 19:10:01.000000,2026-03-30 19:10:00,2180.0,75.0,2664.0,230.0,2190.0,2493.0,41442.0,2026-03-12 03:35:15.000,26.3.1,53.0,513.0,46,True,,black,conda-forge/black,,290.0,144541.0,119881512.0,673014.0,673014.0,https://pypi.org/project/black,119615684.0,https://anaconda.org/conda-forge/black,2026-03-12 11:38:04.361,18224836.0,1.0,,,,,,,,,,,,,,,,,,,,
12,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2026-04-01 06:57:35.499000,2026-04-01 04:06:54,9559.0,278.0,1883.0,352.0,2172.0,4341.0,25097.0,2026-04-01 04:12:23.000,2026.5.1,414.0,539.0,46,True,,pipenv,conda-forge/pipenv,,12.0,,23282062.0,174513.0,174256.0,https://pypi.org/project/pipenv,23277504.0,https://anaconda.org/conda-forge/pipenv,2026-04-01 06:57:35.499,323653.0,1.0,2026-04-01 04:12:23.000,257.0,,,,,,,,,,,,,,,,,,
13,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2026-03-31 21:10:09.000000,2026-03-31 21:10:07,1120.0,86.0,1084.0,162.0,1642.0,1415.0,5022.0,2026-03-09 17:24:46.000,21.2.0,255.0,304.0,45,True,,virtualenv,conda-forge/virtualenv,,1.0,53.0,374142674.0,503474.0,501377.0,https://pypi.org/project/virtualenv,373835707.0,https://anaconda.org/conda-forge/virtualenv,2026-03-10 09:07:59.537,20259860.0,2.0,2026-03-09 17:24:35.000,2097.0,,,,,,,,,,,,,,,,,,
14,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2026-03-28 01:50:45.190352,2026-02-03 16:58:32,2036.0,17.0,1436.0,209.0,613.0,594.0,31085.0,2026-02-03 18:07:15.000,4.67.3,144.0,130.0,44,True,,tqdm,conda-forge/tqdm,,584.0,20312.0,386570907.0,1241973.0,1191528.0,https://pypi.org/project/tqdm,385891968.0,https://anaconda.org/conda-forge/tqdm,2026-02-03 21:18:13.686,47508726.0,1.0,2026-02-03 17:35:50.000,50445.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2026-03-28 01:50:45.190352,3.0,6105.0,,,,,,,,,,,,,
15,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2026-03-29 18:41:57.000000,2026-03-29 18:41:56,9962.0,68.0,1916.0,222.0,2683.0,5336.0,12937.0,2026-02-14 18:07:36.000,6.19.0,79.0,491.0,44,True,,pyinstaller,conda-forge/pyinstaller,,272.0,753193.0,7794885.0,87408.0,87408.0,https://pypi.org/project/pyinstaller,7762772.0,https://anaconda.org/conda-forge/pyinstaller,2026-02-18 18:21:27.703,1708928.0,1.0,,,,,,,,,,,,,,,,,,,,
16,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2026-04-01 18:51:09.000000,2026-03-31 11:47:50,9990.0,90.0,1218.0,73.0,5001.0,4911.0,5666.0,2026-02-20 09:07:31.000,4.0.5,211.0,634.0,44,True,pylint-dev/pylint,pylint,conda-forge/pylint,,1017.0,614.0,51192021.0,501749.0,489453.0,https://pypi.org/project/pylint,51082554.0,https://anaconda.org/conda-forge/pylint,2026-02-20 20:25:17.290,7662014.0,1.0,2026-02-20 09:07:31.000,12296.0,,,,,,,,,,,,,,,,,,
17,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2026-04-01 09:01:46.000000,2026-04-01 08:59:37,15374.0,54.0,2500.0,472.0,853.0,4532.0,11522.0,2026-03-03 16:50:54.000,7.4.2,100.0,224.0,43,True,,robotframework,conda-forge/robotframework,,247.0,579.0,4748888.0,13968.0,13968.0,https://pypi.org/project/robotframework,4744559.0,https://anaconda.org/conda-forge/robotframework,2026-03-04 14:33:43.144,263856.0,1.0,,,,,,,,,,,,,,,,,,,,
18,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2026-04-01 22:04:48.000000,2026-04-01 22:02:48,4579.0,131.0,615.0,43.0,1133.0,1249.0,6924.0,2026-02-28 10:07:58.000,8.0.1,100.0,335.0,43,True,,isort,conda-forge/isort,,100.0,,95794161.0,576515.0,576515.0,https://pypi.org/project/isort,95664251.0,https://anaconda.org/conda-forge/isort,2026-02-28 11:36:11.788,8963834.0,2.0,,,,,,,,,,,,,,,,,,,,
19,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2026-04-01 14:58:36.227000,2026-03-30 20:32:20,1173.0,216.0,550.0,38.0,1826.0,1886.0,3908.0,2026-03-30 20:33:25.000,4.52.0,282.0,347.0,43,True,,tox,conda-forge/tox,['pytest'],,,40189121.0,147478.0,134484.0,https://pypi.org/project/tox,40164365.0,https://anaconda.org/conda-forge/tox,2026-04-01 14:58:36.227,1757725.0,1.0,2026-03-30 20:33:25.000,12994.0,,,,,,,,,,,,,,,,,,
